,Quant,GraduationYear,experince,12percentage,10percentage,Salary
1521,210,2014,1,87.58,79.6,195000
1473,595,2012,0,76.0,88.4,460000
731,605,2013,1,72.6,88.0,200000
271,515,2013,1,63.0,83.0,160000
1509,235,2013,1,46.0,55.0,105000
369,720,2013,1,90.8,91.8,380000
783,795,2014,1,78.8,82.0,325000
1866,485,2011,0,78.2,67.7,500000
2466,475,2012,0,57.0,72.0,270000
2057,495,2010,0,86.29,92.0,75000
2083,544,2011,0,63.0,65.16,150000
1087,575,2015,1,88.3,90.0,325000
674,330,2014,1,83.58,88.2,100000
109,465,2014,1,61.0,64.0,360000
933,585,2014,1,61.6,79.37,265000
2470,445,2011,0,70.0,72.0,200000
1261,680,2013,1,88.0,92.83,565000
2363,375,2013,1,66.67,78.0,160000
1411,320,2014,1,60.0,62.0,125000
2713,705,2014,1,82.4,92.4,335000
2181,655,2013,1,78.0,85.38,335000
1458,510,2014,1,74.0,82.0,240000
119,575,2011,0,75.0,76.0,315000
2951,445,2013,1,69.16,87.2,240000
1490,695,2014,1,89.0,92.0,305000
2162,615,2010,0,64.4,66.5,750000
2859,400,2014,1,68.5,72.0,400000
1820,400,2014,1,54.0,72.0,145000
1754,650,2013,1,70.8,90.0,335000
2942,885,2013,1,91.4,95.2,500000
2276,405,2011,0,74.0,75.0,100000
2468,415,2014,1,68.04,62.6,220000
2760,475,2011,0,83.0,71.0,280000
2592,560,2014,1,91.0,82.7,320000
215,495,2012,0,57.8,73.0,225000
2962,450,2014,1,61.83,83.46,350000
1749,510,2014,1,65.2,94.43,330000
392,515,2012,0,64.0,85.0,435000
27,695,2010,0,78.6,86.17,500000
2360,720,2013,1,96.33,97.76,800000
2065,235,2012,0,80.7,81.2,215000
478,605,2011,0,93.0,91.4,495000
2984,505,2011,0,58.6,69.2,105000
2559,415,2013,1,74.0,62.13,95000
2410,430,2013,1,76.0,85.0,350000
2883,345,2011,0,52.0,58.0,100000
678,405,2012,0,63.83,62.5,230000
1255,415,2014,1,67.0,81.0,240000
1396,425,2012,0,63.6,48.0,180000
2906,440,2013,1,72.8,75.6,210000
619,525,2011,0,92.3,85.0,360000
1482,510,2014,1,61.6,76.0,100000
1717,870,2013,1,87.0,78.8,605000
1697,545,2014,1,87.4,74.83,350000
2211,575,2012,0,65.2,59.0,350000
1939,465,2011,0,52.0,77.0,640000
1257,340,2013,1,61.0,69.0,200000
2597,345,2012,0,55.0,70.2,310000
1432,430,2014,1,85.4,86.4,325000
563,595,2012,0,90.1,82.67,410000
2850,555,2012,0,56.0,66.8,90000
906,545,2011,0,62.0,71.0,225000
1423,445,2012,0,65.33,65.23,285000
188,655,2012,0,94.16,89.0,385000
1185,505,2012,0,77.16,72.6,300000
2275,555,2012,0,64.0,73.0,460000
692,645,2014,1,91.83,92.8,220000
927,470,2013,1,64.8,85.75,130000
1610,615,2010,0,83.6,82.5,495000
2090,725,2009,0,62.0,69.0,180000
1403,615,2012,0,77.4,77.33,400000
2748,545,2012,0,82.2,74.33,200000
1109,655,2014,1,80.75,72.0,320000
1733,405,2014,1,66.4,69.8,240000
997,395,2012,0,72.0,61.0,210000
2143,475,2014,1,78.2,85.8,360000
597,295,2014,1,62.2,55.0,200000
314,320,2014,1,61.92,88.64,100000
1840,470,2013,1,89.33,79.2,40000
37,320,2014,1,65.72,63.5,220000
425,270,2013,1,64.0,63.0,120000
2618,505,2012,0,68.4,80.5,550000
2836,635,2012,0,85.0,93.0,405000
2271,435,2011,0,62.8,61.4,300000
2901,505,2013,1,65.0,73.0,350000
1157,650,2014,1,73.0,83.0,120000
2052,370,2013,1,60.0,80.0,300000
299,794,2014,1,87.6,81.2,820000
443,585,2014,1,89.4,90.0,2000000
1277,575,2014,1,65.6,64.4,150000
1983,510,2013,1,76.8,72.2,145000
596,415,2014,1,63.7,67.3,180000
1549,445,2016,1,79.8,72.3,350000
2148,425,2013,1,76.6,84.4,195000
1041,395,2011,0,57.8,75.8,180000
667,535,2013,1,89.0,85.33,315000
1138,470,2014,1,65.2,69.85,120000
1418,555,2013,1,66.2,76.4,165000
546,510,2013,1,74.0,77.0,300000
2067,465,2013,1,66.0,77.0,335000
2565,535,2013,1,93.0,90.0,100000
2226,680,2014,1,74.0,81.0,200000
666,180,2012,0,67.25,67.72,185000
2402,510,2014,1,69.4,78.6,350000
766,515,2012,0,69.8,86.2,150000
1061,485,2013,1,63.0,70.75,300000
1386,505,2011,0,68.89,63.2,445000
191,605,2012,0,81.0,79.8,420000
2300,545,2013,1,56.0,63.0,145000
2184,525,2012,0,87.0,95.04,530000
1538,450,2014,1,87.0,90.0,350000
518,705,2013,1,60.2,75.4,400000
1693,605,2010,0,84.53,74.53,555000
2726,405,2012,0,64.1,77.7,105000
2831,605,2012,0,77.23,84.83,180000
229,370,2014,1,72.5,79.0,205000
351,590,2013,1,80.6,78.0,240000
1843,425,2011,0,85.2,68.5,290000
2254,310,2014,1,81.5,90.46,310000
1351,554,2011,0,80.0,87.0,320000
1628,425,2010,0,53.55,78.28,455000
564,665,2014,1,87.0,86.0,450000
1569,810,2014,1,81.12,88.17,240000
1160,475,2014,1,56.9,77.12,100000
2238,570,2013,1,70.0,83.4,800000
2970,645,2012,0,80.8,84.0,500000
405,405,2011,0,67.67,78.88,425000
1880,320,2015,1,77.0,84.0,405000
57,415,2013,1,80.2,81.5,310000
2766,695,2013,1,88.8,89.0,365000
2506,325,2013,1,85.5,71.2,330000
2664,310,2014,1,71.6,75.0,320000
238,495,2010,0,59.2,68.0,375000
1639,345,2014,1,65.0,85.0,200000
2880,575,2014,1,80.6,79.0,320000
1015,415,2014,1,68.0,68.0,100000
745,450,2013,1,61.8,68.66,120000
402,495,2010,0,60.0,68.0,200000
2852,630,2013,1,66.0,78.2,325000
2778,415,2013,1,60.2,72.3,280000
2430,485,2013,1,84.8,87.4,320000
2699,560,2015,1,62.0,74.5,60000
670,525,2012,0,97.6,89.0,375000
1362,385,2011,0,66.66,48.0,440000
452,605,2011,0,68.6,70.1,505000
2692,445,2013,1,85.4,81.6,345000
2073,465,2014,1,66.0,74.16,75000
2412,485,2012,0,71.0,88.34,340000
2655,690,2014,1,71.4,72.6,320000
2369,665,2013,1,65.4,74.0,200000
487,735,2013,1,75.6,84.4,330000
2820,575,2011,0,59.38,55.5,250000
1093,675,2012,0,87.0,90.4,430000
438,625,2011,0,94.1,89.0,240000
748,445,2011,0,66.0,65.0,360000
2039,430,2013,1,71.0,78.0,250000
609,295,2010,0,87.4,84.2,570000
1618,355,2013,1,78.3,72.5,220000
2512,605,2012,0,85.8,84.8,180000
1376,505,2012,0,70.0,70.0,210000
2797,425,2013,1,74.4,81.0,215000
1826,645,2014,1,93.9,89.5,145000
1949,825,2012,0,65.9,94.4,240000
1453,390,2015,1,81.0,80.0,300000
330,575,2013,1,88.0,86.0,310000
1942,795,2013,1,92.2,89.5,300000
2683,595,2014,1,90.1,90.8,250000
2241,470,2013,1,87.9,65.0,100000
426,425,2011,0,62.4,55.33,160000
1725,590,2012,0,75.6,84.0,360000
2843,475,2012,0,65.0,67.0,180000
1002,625,2010,0,77.54,68.33,160000
2332,625,2012,0,92.5,88.16,490000
1032,760,2014,1,79.4,72.83,340000
517,585,2013,1,65.2,76.2,110000
1692,605,2012,0,82.0,69.0,200000
1965,355,2013,1,89.0,86.16,365000
1043,485,2014,1,86.0,89.0,215000
581,324,2011,0,57.8,78.4,200000
459,825,2013,1,92.5,87.6,340000
2650,530,2013,1,89.0,81.5,400000
303,620,2014,1,74.4,84.6,360000
132,430,2012,0,64.33,76.66,95000
2967,405,2010,0,82.5,90.88,345000
2449,500,2012,0,54.66,60.0,130000
526,560,2013,1,93.9,87.0,275000
2385,500,2012,0,79.8,77.2,180000
936,405,2012,0,65.0,58.0,260000
144,445,2014,1,95.2,87.7,200000
2972,585,2014,1,74.4,70.0,180000
1573,455,2014,1,91.5,79.83,305000
1232,525,2012,0,55.54,65.56,350000
204,475,2015,1,66.66,76.0,250000
41,565,2012,0,83.0,91.0,165000
2855,450,2014,1,84.0,94.0,350000
963,595,2014,1,64.8,77.85,180000
1264,725,2011,0,87.3,83.0,500000
1845,485,2014,1,91.0,86.5,180000
1768,525,2010,0,76.3,81.3,260000
2917,500,2013,1,69.6,77.83,335000
2563,340,2011,0,80.83,72.36,230000
4,365,2012,0,75.0,82.0,200000
943,545,2014,1,84.0,78.0,315000
1136,625,2012,0,81.6,90.4,320000
2807,295,2013,1,52.5,46.24,105000
2936,595,2012,0,74.67,75.33,505000
2318,390,2014,1,47.0,60.0,120000
2838,320,2015,1,52.2,71.2,110000
958,425,2011,0,72.0,71.0,400000
1825,735,2013,1,87.2,91.17,310000
1077,590,2012,0,75.2,78.4,200000
390,345,2014,1,87.9,81.0,300000
1349,675,2012,0,78.13,76.0,500000
1303,435,2012,0,76.0,56.0,105000
2000,365,2012,0,83.0,68.0,350000
251,505,2010,0,87.0,79.66,300000
1184,655,2012,0,73.4,89.8,520000
357,485,2013,1,69.0,77.57,200000
1460,325,2012,0,85.36,76.8,3500000
938,595,2013,1,72.6,74.0,420000
2265,565,2012,0,75.0,75.0,335000
2589,555,2012,0,71.2,69.2,300000
969,475,2014,1,66.0,80.0,215000
528,430,2017,1,71.0,76.0,290000
232,605,2011,0,92.3,90.6,375000
610,545,2010,0,72.6,78.2,680000
2530,455,2014,1,74.4,81.4,200000
2781,680,2012,0,60.8,67.2,550000
1779,405,2012,0,77.0,82.2,400000
1547,385,2010,0,76.0,77.0,500000
653,650,2014,1,76.0,86.14,325000
781,470,2013,1,65.0,65.0,120000
1450,705,2013,1,86.8,87.4,590000
2989,320,2014,1,86.7,81.1,300000
676,270,2014,1,74.5,87.52,310000
1231,575,2013,1,88.5,78.6,200000
1568,545,2013,1,79.0,82.0,300000
2434,625,2011,0,75.0,89.0,490000
2122,575,2012,0,56.6,71.67,210000
758,500,2013,1,74.0,76.0,180000
2848,475,2012,0,89.0,81.0,430000
2720,605,2012,0,80.0,83.66,325000
2486,645,2014,1,72.1,82.1,310000
2253,535,2011,0,81.4,93.94,450000
2367,680,2012,0,76.5,82.0,405000
1269,680,2014,1,88.0,82.6,325000
2279,375,2012,0,67.23,87.0,180000
2514,765,2014,1,68.0,87.0,275000
1964,635,2014,1,80.0,78.8,180000
867,485,2012,0,62.0,70.0,180000
2207,465,2012,0,68.8,57.5,145000
2737,365,2012,0,67.0,58.0,95000
1099,525,2011,0,82.66,84.5,345000
636,595,2010,0,71.0,71.6,240000
2361,455,2014,1,90.0,93.07,145000
784,565,2011,0,74.0,67.8,305000
522,590,2013,1,74.2,84.6,275000
283,665,2014,1,76.6,87.2,325000
1363,325,2012,0,85.0,76.53,200000
2704,455,2014,1,69.0,76.0,400000
1992,545,2014,1,86.0,94.4,240000
909,530,2013,1,61.0,86.0,265000
1773,825,2013,1,77.77,85.17,350000
2982,615,2011,0,86.8,80.83,425000
1912,620,2014,1,90.0,89.0,205000
2225,470,2014,1,67.6,75.4,380000
1625,380,2015,1,72.0,58.6,120000
2170,485,2011,0,63.2,70.3,550000
1661,680,2013,1,76.6,77.8,375000
2063,565,2011,0,52.0,49.0,270000
2027,515,2012,0,76.4,79.0,310000
145,575,2013,1,78.0,88.0,420000
1997,460,2014,1,60.0,75.0,145000
2447,635,2010,0,73.0,83.0,200000
1260,585,2013,1,74.0,79.0,170000
1237,465,2011,0,91.9,80.2,290000
1191,680,2013,1,68.0,85.4,330000
162,500,2013,1,71.0,73.5,325000
2620,530,2012,0,91.33,86.2,400000
1313,585,2012,0,96.25,90.3,450000
1487,445,2011,0,60.0,58.0,325000
1343,585,2013,1,86.4,86.0,400000
2912,515,2013,1,74.0,79.0,300000
2313,355,2014,1,78.6,86.8,325000
359,415,2012,0,61.0,67.0,420000
1078,590,2013,1,74.0,83.0,240000
486,450,2013,1,89.6,77.6,180000
2628,430,2013,1,66.0,77.0,240000
1900,535,2013,1,65.0,67.0,325000
2799,590,2015,1,93.5,93.3,310000
1236,705,2014,1,89.91,83.6,325000
2381,605,2011,0,76.6,65.0,400000
379,285,2012,0,77.16,76.48,445000
1180,400,2013,1,74.0,76.0,385000
1311,625,2010,0,82.5,85.46,400000
1678,575,2011,0,74.8,78.8,390000
1611,500,2014,1,84.0,86.0,200000
757,380,2014,1,68.0,58.9,180000
39,575,2012,0,61.0,76.0,240000
1042,390,2014,1,54.0,48.0,120000
2531,435,2012,0,68.0,55.0,180000
2439,560,2013,1,74.0,80.0,240000
1225,530,2013,1,62.0,64.0,210000
2965,575,2012,0,90.6,80.0,145000
1070,515,2011,0,56.0,63.0,390000
2788,425,2010,0,72.0,72.0,130000
1270,565,2012,0,82.0,83.0,375000
2014,365,2012,0,62.66,73.6,400000
1284,295,2009,0,66.0,77.0,680000
59,585,2010,0,86.1,74.0,380000
2377,525,2013,1,80.6,80.4,240000
2739,370,2014,1,50.8,55.6,120000
2856,575,2013,1,79.6,70.6,310000
414,515,2011,0,61.23,54.83,150000
764,355,2013,1,76.0,78.0,45000
2622,695,2012,0,97.2,88.83,530000
1379,455,2010,0,62.0,72.0,470000
1013,545,2013,1,92.9,88.4,310000
2532,605,2012,0,85.2,88.33,395000
2440,425,2014,1,79.4,90.0,300000
1505,385,2014,1,73.8,67.0,225000
1230,500,2013,1,89.2,82.8,310000
2087,595,2013,1,76.0,79.5,300000
1489,555,2011,0,75.25,84.6,200000
2244,655,2011,0,77.1,84.67,2300000
2128,560,2015,1,87.2,91.0,400000
440,380,2014,1,67.5,86.08,300000
1049,525,2014,1,95.2,88.5,300000
477,285,2010,0,56.0,69.33,480000
1197,560,2013,1,77.2,76.0,310000
2700,545,2013,1,72.0,74.0,445000
2510,560,2013,1,69.16,86.5,300000
1486,270,2013,1,63.6,72.4,85000
715,585,2014,1,70.0,85.73,300000
1901,515,2012,0,94.0,84.0,360000
1140,595,2014,1,84.0,80.0,120000
2147,465,2015,1,56.04,80.04,120000
1934,405,2014,1,94.9,91.8,275000
1859,485,2013,1,87.4,92.3,290000
2619,430,2012,0,65.6,82.0,195000
6,405,2013,1,53.2,72.5,150000
1922,545,2014,1,73.0,71.8,345000
1875,645,2010,0,61.8,78.4,180000
840,575,2012,0,76.5,88.2,315000
1083,405,2011,0,81.66,87.04,290000
2649,425,2012,0,68.67,70.0,180000
125,625,2011,0,71.8,81.8,170000
1955,390,2013,1,77.4,81.7,140000
2835,400,2014,1,66.3,81.0,300000
2884,235,2014,1,51.3,69.0,110000
708,740,2014,1,63.6,86.8,315000
2803,405,2013,1,91.4,85.4,205000
1203,325,2013,1,69.7,79.2,105000
391,190,2015,1,66.0,84.0,110000
2522,415,2013,1,72.0,68.0,300000
220,635,2013,1,76.6,79.2,310000
2847,680,2014,1,66.15,69.0,330000
2216,735,2013,1,96.0,86.0,440000
17,620,2014,1,89.0,86.0,210000
58,465,2012,0,66.0,63.0,450000
568,500,2014,1,77.0,64.0,240000
1788,575,2012,0,71.4,69.6,95000
2828,425,2012,0,80.0,67.0,600000
2299,500,2014,1,76.8,87.0,225000
937,720,2013,1,63.33,61.4,310000
2116,505,2013,1,71.8,75.0,325000
411,470,2012,0,56.6,70.0,150000
703,455,2013,1,78.0,82.0,215000
2551,325,2012,0,63.0,60.0,205000
261,595,2013,1,79.2,64.4,180000
1853,485,2012,0,79.3,80.0,200000
2643,645,2014,1,80.3,83.33,320000
2918,585,2014,1,81.4,89.5,320000
269,725,2012,0,94.6,93.0,360000
1950,415,2012,0,80.1,83.0,395000
149,525,2011,0,83.8,89.8,480000
107,655,2010,0,68.83,75.83,465000
1791,510,2014,1,90.0,90.0,305000
1068,500,2013,1,58.0,81.5,205000
1519,415,2014,1,69.0,73.0,180000
2490,210,2014,1,68.15,63.33,100000
1,210,2014,1,64.5,57.0,110000
384,395,2012,0,89.0,88.0,420000
530,585,2013,1,78.0,74.0,340000
588,470,2014,1,87.83,84.0,100000
1079,560,2013,1,68.8,70.0,120000
1267,605,2013,1,73.0,79.0,100000
453,400,2013,1,73.0,86.0,145000
2336,445,2011,0,63.0,74.0,600000
1491,680,2014,1,85.6,93.0,400000
1982,750,2014,1,65.8,85.8,340000
1662,495,2012,0,81.0,73.0,300000
700,465,2013,1,75.6,65.0,105000
1094,525,2013,1,63.0,71.0,240000
710,375,2011,0,70.0,71.0,265000
2479,310,2013,1,81.0,83.0,105000
855,620,2014,1,70.0,80.0,400000
2680,470,2014,1,71.0,76.0,180000
1564,355,2012,0,69.07,71.05,165000
1528,150,2012,0,59.0,72.0,225000
713,650,2013,1,95.2,89.6,350000
2919,630,2014,1,88.2,90.4,305000
2677,605,2014,1,73.2,86.6,325000
2549,325,2013,1,77.0,84.0,150000
2213,595,2015,1,85.0,88.0,700000
1052,545,2012,0,72.0,80.2,345000
819,645,2011,0,71.25,80.5,300000
2504,505,2010,0,90.6,87.0,490000
1902,485,2010,0,81.1,85.5,180000
1709,525,2014,1,86.0,93.0,310000
2598,405,2011,0,60.4,59.3,435000
1700,440,2013,1,82.8,78.0,200000
2310,554,2012,0,60.0,62.8,120000
2018,390,2014,1,72.0,76.0,200000
52,504,2011,0,68.4,70.2,510000
2079,500,2014,1,75.0,75.0,220000
1931,260,2014,1,66.8,75.0,200000
1753,565,2010,0,62.4,64.8,475000
20,430,2013,1,50.0,60.0,240000
1414,645,2013,1,91.0,88.6,325000
2529,575,2013,1,66.0,71.13,120000
1387,605,2014,1,84.0,93.8,200000
194,455,2012,0,65.0,78.93,355000
189,650,2012,0,82.46,87.33,440000
2913,715,2012,0,76.0,82.4,820000
264,595,2013,1,66.0,81.0,275000
1572,625,2011,0,65.6,68.6,440000
1504,450,2014,1,90.0,91.0,300000
1410,445,2011,0,70.0,77.0,85000
2379,570,2012,0,76.0,66.67,245000
2307,305,2012,0,62.0,56.0,100000
1953,605,2011,0,75.9,77.8,400000
579,355,2014,1,88.0,82.0,270000
2815,570,2014,1,71.0,72.0,300000
2118,535,2014,1,74.5,85.83,340000
1713,430,2014,1,61.33,72.8,425000
48,370,2014,1,64.0,52.93,240000
1798,620,2013,1,94.33,95.52,275000
2988,565,2012,0,95.0,85.0,420000
1106,575,2013,1,74.25,78.25,415000
223,560,2013,1,58.55,81.66,230000
2038,565,2011,0,80.33,83.2,450000
2357,555,2014,1,71.6,75.0,300000
2064,440,2013,1,86.0,76.0,120000
2573,635,2014,1,70.0,78.0,325000
829,554,2012,0,73.8,70.0,305000
1961,375,2011,0,71.0,69.0,265000
1499,605,2013,1,81.7,84.16,300000
2949,310,2014,1,77.0,65.0,300000
964,500,2013,1,72.0,78.0,330000
2900,650,2013,1,91.5,88.4,300000
286,605,2011,0,89.6,80.33,760000
2010,680,2014,1,68.4,72.0,315000
97,425,2010,0,61.7,75.0,310000
1380,385,2012,0,66.0,60.0,180000
2590,455,2010,0,72.48,77.4,220000
2365,565,2014,1,78.0,80.0,300000
795,520,2014,1,74.0,68.0,200000
1173,515,2012,0,95.6,92.66,235000
285,605,2012,0,68.0,66.0,205000
557,464,2012,0,73.0,87.0,325000
1467,285,2013,1,52.0,65.0,180000
2957,444,2013,1,69.67,84.14,550000
2634,535,2013,1,75.0,87.0,240000
926,415,2011,0,61.85,68.5,300000
133,530,2013,1,84.6,90.4,205000
2168,425,2014,1,72.2,76.6,300000
2742,560,2013,1,68.16,73.0,100000
602,535,2014,1,82.8,73.6,200000
2272,560,2014,1,91.2,79.0,200000
2541,370,2014,1,70.4,78.8,150000
2791,365,2011,0,69.0,72.0,225000
949,725,2011,0,83.0,94.6,550000
1081,570,2013,1,79.6,81.4,310000
996,615,2015,1,82.0,84.0,360000
2285,590,2013,1,68.4,82.6,350000
11,645,2013,1,79.9,81.2,300000
2205,560,2012,0,68.2,79.6,95000
1478,495,2012,0,94.2,87.3,425000
442,555,2012,0,91.0,87.0,350000
1103,440,2013,1,56.0,73.0,190000
157,705,2012,0,81.0,83.0,180000
1393,545,2012,0,71.8,68.6,300000
505,365,2011,0,78.0,87.0,325000
1238,505,2013,1,82.4,82.2,245000
1735,635,2014,1,76.6,82.0,350000
18,280,2013,1,54.0,66.15,400000
1884,575,2011,0,53.0,54.0,275000
200,565,2010,0,63.4,67.25,240000
646,465,2014,1,54.33,61.57,200000
1341,715,2013,1,67.7,79.0,330000
2328,695,2014,1,76.5,85.06,350000
47,575,2010,0,62.0,62.0,300000
2975,465,2013,1,74.92,84.67,120000
2111,525,2011,0,81.16,83.33,550000
1666,500,2014,1,81.26,82.14,225000
2267,590,2012,0,74.4,79.38,300000
2509,510,2014,1,69.4,82.66,325000
2483,370,2014,1,70.0,91.2,315000
1936,605,2013,1,76.6,75.4,360000
1604,365,2013,1,77.0,76.0,400000
897,595,2012,0,86.4,89.4,345000
1062,545,2012,0,78.8,77.8,355000
657,735,2010,0,80.4,89.33,1200000
1399,565,2009,0,92.0,96.0,300000
1224,605,2010,0,75.6,73.3,555000
2461,385,2012,0,47.2,58.0,150000
1010,505,2011,0,71.85,73.5,180000
1451,385,2011,0,60.4,68.65,175000
413,740,2014,1,81.0,78.3,300000
2968,485,2014,1,60.2,73.8,120000
254,485,2014,1,61.8,70.2,150000
2667,345,2012,0,73.83,87.8,315000
2308,340,2014,1,66.8,79.8,200000
684,765,2013,1,85.2,88.76,510000
300,465,2013,1,80.0,65.2,210000
128,415,2010,0,55.0,66.0,145000
1054,560,2012,0,67.2,82.8,145000
2708,535,2014,1,83.6,69.0,145000
1511,560,2014,1,55.6,76.0,120000
2615,625,2010,0,71.0,76.0,370000
846,404,2010,0,79.4,88.6,385000
2985,425,2011,0,86.6,90.8,470000
386,690,2015,1,95.8,89.6,325000
651,505,2012,0,67.0,78.2,440000
2997,285,2013,1,75.5,77.0,200000
805,345,2014,1,66.4,60.1,325000
2255,460,2014,1,67.0,72.0,150000
366,375,2012,0,95.65,90.1,375000
1903,435,2011,0,77.0,67.0,550000
2293,500,2014,1,82.0,78.2,610000
2922,455,2011,0,69.33,79.28,180000
1856,545,2013,1,74.0,73.0,300000
1240,435,2012,0,62.2,79.0,325000
1256,625,2011,0,67.0,73.4,300000
1364,475,2013,1,75.0,87.0,140000
458,475,2014,1,69.0,77.8,400000
1012,445,2011,0,51.0,72.6,460000
2037,635,2011,0,83.0,78.0,460000
2959,445,2012,0,67.0,85.0,150000
1030,535,2013,1,64.0,74.0,525000
1736,680,2014,1,70.2,80.4,600000
87,340,2013,1,72.0,76.0,120000
2625,750,2012,0,65.0,90.4,375000
1327,450,2013,1,82.0,70.0,125000
2331,690,2014,1,89.0,95.0,310000
1018,515,2012,0,61.0,65.0,330000
2660,560,2014,1,80.2,72.8,120000
2813,505,2011,0,92.3,75.83,420000
876,725,2013,1,61.6,73.0,400000
444,645,2014,1,64.2,80.2,220000
161,585,2011,0,82.8,81.2,390000
1836,595,2012,0,83.4,79.0,150000
249,735,2012,0,97.0,93.0,395000
2593,595,2013,1,62.0,71.0,345000
980,720,2013,1,76.4,81.6,335000
1813,570,2013,1,56.3,67.7,450000
1831,565,2013,1,65.4,66.2,300000
1242,840,2013,1,79.0,76.0,415000
173,695,2010,0,83.0,78.0,600000
1656,500,2013,1,93.6,86.4,600000
1513,485,2012,0,84.28,78.16,320000
2315,595,2012,0,93.4,85.0,820000
822,530,2014,1,74.0,68.0,180000
2264,500,2014,1,80.5,86.37,505000
665,524,2011,0,71.0,81.0,350000
2174,530,2014,1,78.3,95.2,270000
1577,535,2012,0,64.0,73.0,450000
2579,435,2011,0,82.0,78.5,360000
2485,510,2013,1,52.0,51.6,80000
158,405,2012,0,65.2,67.8,180000
139,464,2011,0,63.0,78.0,520000
574,385,2013,1,70.0,80.0,420000
2019,530,2013,1,50.0,61.2,910000
2888,585,2010,0,95.0,86.0,530000
1687,510,2013,1,67.0,73.5,265000
2733,485,2014,1,64.0,75.0,240000
342,620,2012,0,64.4,78.0,200000
792,535,2012,0,95.3,87.5,100000
1000,720,2013,1,74.6,69.6,330000
2872,605,2011,0,70.2,67.67,320000
441,675,2011,0,81.4,87.6,500000
789,295,2013,1,77.0,86.0,120000
2119,385,2012,0,91.0,91.0,360000
535,575,2012,0,67.74,81.86,350000
2801,370,2012,0,56.0,52.0,180000
916,375,2015,1,62.5,82.24,150000
2921,570,2013,1,84.0,90.0,185000
43,530,2014,1,66.8,70.16,150000
1512,455,2013,1,65.0,61.0,330000
2407,330,2012,0,83.0,88.0,175000
80,355,2014,1,66.0,64.0,200000
2429,545,2011,0,69.0,58.0,605000
270,515,2014,1,58.0,57.0,180000
1651,635,2011,0,73.0,67.0,305000
2698,500,2014,1,86.0,93.44,325000
475,210,2013,1,78.5,75.0,120000
