,Quant,GraduationYear,experince,12percentage,10percentage,Salary
532,415,2013,1,64.0,86.0,250000
2724,455,2011,0,78.16,79.86,445000
1424,255,2012,0,69.9,83.0,375000
1907,735,2012,0,77.8,87.2,360000
267,460,2014,1,81.0,82.2,180000
233,285,2011,0,43.0,55.0,180000
2200,485,2014,1,75.0,73.6,330000
1808,515,2013,1,76.0,77.0,120000
1426,620,2014,1,93.8,84.5,340000
287,345,2010,0,85.0,78.0,180000
1091,615,2010,0,75.0,93.4,300000
733,620,2014,1,81.8,76.5,325000
2450,464,2010,0,86.1,81.0,380000
512,620,2013,1,77.2,77.4,440000
810,535,2012,0,69.0,66.0,180000
2499,355,2014,1,62.0,67.0,310000
2082,235,2014,1,73.6,77.8,215000
815,305,2012,0,86.91,79.2,160000
828,535,2011,0,66.6,72.6,100000
1989,720,2014,1,82.9,81.3,180000
279,475,2012,0,61.8,61.0,200000
2552,400,2013,1,53.85,69.83,180000
250,505,2011,0,94.5,91.86,90000
1658,400,2017,1,59.2,68.6,180000
2639,780,2013,1,75.6,84.75,325000
1739,620,2013,1,96.4,81.6,275000
1885,335,2011,0,60.16,75.36,280000
1045,500,2014,1,78.0,86.0,300000
31,440,2013,1,81.0,85.0,330000
2798,415,2013,1,62.9,74.9,100000
864,725,2010,0,76.67,83.69,1100000
2950,565,2012,0,67.9,72.4,210000
1621,535,2013,1,70.0,71.2,200000
2258,535,2013,1,82.0,77.0,240000
1282,415,2010,0,78.88,62.26,100000
842,515,2013,1,60.0,71.0,250000
2288,560,2013,1,62.5,64.62,100000
1850,515,2011,0,88.0,83.0,495000
1789,565,2012,0,61.4,83.2,305000
2281,635,2014,1,67.5,73.07,300000
2070,515,2017,1,81.3,75.6,100000
2078,810,2012,0,80.0,73.67,480000
309,455,2013,1,75.5,92.47,350000
2543,585,2012,0,94.16,94.4,495000
2099,485,2012,0,59.66,68.67,220000
490,485,2014,1,70.0,78.8,305000
818,455,2009,0,79.0,74.4,600000
1300,525,2012,0,86.4,93.6,500000
2476,585,2011,0,72.8,76.2,500000
1988,495,2012,0,95.6,88.09,350000
1647,430,2014,1,66.0,76.0,120000
2705,720,2011,0,88.1,77.4,330000
2223,385,2014,1,69.0,72.0,480000
1165,585,2014,1,62.0,71.5,100000
892,695,2013,1,63.0,89.0,300000
1837,475,2010,0,81.0,84.6,520000
1477,470,2014,1,79.67,82.46,240000
2741,590,2014,1,75.0,91.0,180000
1188,380,2013,1,62.33,63.8,150000
1928,545,2011,0,78.6,83.4,410000
1525,665,2013,1,72.6,73.0,350000
521,690,2012,0,79.0,90.4,305000
2808,595,2011,0,84.0,84.8,350000
393,765,2013,1,90.0,81.0,300000
77,455,2010,0,72.0,56.4,1210000
262,470,2010,0,83.8,87.8,160000
2621,430,2013,1,66.5,64.0,200000
240,525,2011,0,77.0,81.0,380000
721,605,2012,0,61.6,75.8,325000
2614,385,2011,0,86.33,76.18,170000
1457,530,2013,1,62.33,69.0,145000
1058,655,2014,1,74.71,91.62,325000
1742,325,2009,0,47.83,64.43,300000
799,590,2013,1,94.4,91.0,365000
2289,620,2013,1,85.56,89.6,335000
1288,460,2014,1,94.1,88.5,140000
381,430,2015,1,65.0,72.0,180000
2424,454,2011,0,71.55,86.53,480000
2638,870,2014,1,92.5,87.0,450000
1952,515,2013,1,67.0,72.0,400000
1036,565,2011,0,63.0,61.3,145000
1210,695,2013,1,65.2,80.6,300000
2654,455,2013,1,87.0,69.0,145000
106,485,2014,1,82.5,86.5,300000
85,620,2013,1,74.0,81.4,200000
1226,575,2012,0,76.0,80.6,450000
1039,585,2012,0,82.0,84.0,200000
474,475,2014,1,87.2,82.28,120000
1195,595,2012,0,85.88,85.0,415000
1142,355,2012,0,62.7,82.0,310000
2548,510,2014,1,78.8,84.0,450000
1969,435,2011,0,86.0,77.5,650000
1766,475,2014,1,73.0,72.6,310000
2694,340,2012,0,71.0,84.0,200000
2252,565,2011,0,77.0,74.33,240000
633,380,2013,1,65.6,72.8,240000
1357,605,2014,1,80.0,89.0,325000
629,515,2012,0,74.6,74.6,150000
2179,470,2013,1,89.0,90.0,200000
2201,455,2014,1,63.4,74.8,210000
345,335,2010,0,55.0,52.0,550000
2236,310,2014,1,56.0,59.2,180000
2278,680,2013,1,86.6,91.6,370000
1686,750,2013,1,71.6,78.8,315000
310,720,2014,1,77.2,65.0,170000
735,440,2014,1,55.0,60.0,150000
187,445,2011,0,75.0,80.0,350000
1829,500,2014,1,93.0,94.8,340000
2829,545,2012,0,56.0,88.6,200000
2964,475,2010,0,61.0,53.0,4000000
415,705,2014,1,72.0,55.3,135000
516,265,2013,1,61.5,68.0,120000
917,605,2013,1,85.0,87.0,335000
344,605,2013,1,79.0,85.0,450000
294,595,2013,1,71.8,86.3,335000
1096,495,2013,1,62.0,72.0,180000
904,595,2011,0,72.2,81.6,370000
1855,485,2013,1,84.5,89.9,360000
1535,500,2013,1,58.0,67.0,90000
2284,665,2012,0,81.2,79.8,490000
1390,605,2011,0,81.6,86.4,180000
2601,375,2012,0,57.6,73.2,205000
2178,655,2012,0,82.4,80.0,350000
2215,415,2015,1,62.0,44.16,215000
1168,475,2012,0,72.6,93.67,450000
2570,475,2014,1,76.4,68.2,180000
1427,680,2014,1,90.0,91.2,600000
2373,605,2014,1,92.4,82.8,280000
260,590,2013,1,67.0,76.0,325000
832,585,2010,0,78.2,76.4,220000
2495,470,2013,1,81.5,86.6,265000
1115,665,2013,1,86.0,85.6,400000
1894,310,2013,1,73.63,72.45,300000
2376,535,2013,1,67.6,65.8,320000
2688,750,2013,1,88.0,89.23,400000
2816,565,2011,0,59.77,48.5,105000
2158,735,2014,1,90.67,88.6,300000
2891,585,2011,0,76.0,68.2,315000
2202,605,2013,1,76.2,77.0,240000
2397,455,2012,0,62.0,63.0,445000
2955,535,2013,1,96.5,87.0,200000
2508,475,2013,1,93.5,86.5,190000
1702,735,2013,1,91.7,86.8,335000
2879,355,2014,1,61.0,58.6,100000
2731,390,2014,1,86.31,87.31,325000
2401,705,2014,1,89.9,87.3,600000
1867,265,2014,1,68.0,81.0,180000
360,595,2013,1,76.8,78.15,310000
2652,335,2012,0,71.0,73.0,300000
620,435,2012,0,71.08,86.09,275000
2245,465,2014,1,67.0,75.0,120000
986,355,2013,1,60.0,63.0,230000
34,690,2013,1,82.0,85.0,325000
690,440,2013,1,72.15,63.33,100000
2672,320,2015,1,68.0,72.0,105000
1526,445,2012,0,76.0,76.0,380000
376,590,2013,1,89.9,92.6,325000
101,635,2013,1,75.6,89.4,475000
1601,415,2013,1,72.0,75.0,300000
2477,595,2012,0,82.33,92.64,425000
1980,705,2013,1,91.0,88.57,930000
946,395,2012,0,69.5,84.6,120000
2785,370,2013,1,64.0,65.0,190000
1914,415,2014,1,74.4,71.0,120000
2882,555,2012,0,69.58,84.0,350000
506,375,2012,0,71.0,74.4,100000
2535,705,2013,1,82.2,76.6,340000
1205,355,2013,1,64.0,68.0,250000
61,485,2013,1,89.9,87.5,300000
1175,310,2013,1,79.0,80.0,130000
2690,365,2012,0,63.8,78.3,240000
1852,545,2014,1,82.0,86.2,300000
2925,570,2014,1,70.0,69.0,120000
2394,445,2013,1,95.41,90.27,180000
2066,535,2012,0,66.8,81.2,400000
1116,615,2012,0,95.8,92.66,440000
2319,445,2011,0,48.0,61.0,240000
519,535,2010,0,68.0,75.0,565000
1548,180,2013,1,79.0,75.0,190000
1895,635,2014,1,83.6,80.0,350000
2340,445,2012,0,65.0,70.0,200000
1944,695,2012,0,73.0,70.8,220000
1947,485,2013,1,73.0,72.5,165000
72,415,2012,0,88.6,90.33,300000
2821,685,2011,0,74.0,74.0,250000
36,530,2013,1,85.0,82.5,315000
2123,535,2010,0,91.3,90.6,450000
2750,385,2014,1,64.33,66.8,200000
1583,525,2012,0,92.1,88.0,515000
1503,615,2011,0,78.0,89.0,470000
1981,385,2010,0,55.8,66.6,120000
142,565,2011,0,79.4,85.6,450000
1615,605,2014,1,83.0,76.8,300000
2762,195,2011,0,55.33,50.66,85000
2583,585,2011,0,80.4,82.8,435000
2533,725,2013,1,82.4,91.6,600000
1835,400,2014,1,56.0,68.0,240000
2517,210,2014,1,70.0,76.96,100000
1192,235,2013,1,73.2,70.2,180000
2175,560,2013,1,75.0,81.8,240000
1317,455,2011,0,72.3,82.2,145000
2209,475,2011,0,74.33,87.2,265000
2576,565,2012,0,79.83,83.83,390000
1170,720,2014,1,93.9,79.6,325000
2743,675,2011,0,74.2,76.0,1000000
152,415,2012,0,80.0,91.0,235000
2678,445,2014,1,74.4,73.4,315000
1448,605,2011,0,95.9,88.5,620000
2712,525,2013,1,75.2,70.14,250000
1073,665,2013,1,77.8,73.6,200000
42,475,2013,1,47.6,65.0,180000
2600,655,2013,1,69.4,82.0,320000
5,620,2013,1,77.0,83.16,440000
55,595,2012,0,78.6,84.2,145000
1539,365,2012,0,63.0,68.8,430000
987,465,2014,1,81.0,75.0,250000
1067,545,2013,1,77.0,76.0,215000
2208,595,2011,0,76.8,74.0,540000
511,385,2013,1,68.6,70.25,70000
2846,680,2012,0,62.8,61.83,310000
1335,385,2013,1,61.0,62.0,300000
1991,565,2011,0,77.6,86.6,645000
2249,270,2015,1,77.0,81.3,1800000
255,535,2014,1,62.0,73.0,145000
1279,530,2013,1,93.8,91.5,270000
871,605,2013,1,53.0,65.0,300000
2346,310,2014,1,74.6,84.4,275000
893,755,2010,0,77.0,81.0,370000
1419,555,2014,1,90.0,88.0,330000
1710,500,2014,1,61.0,61.0,325000
915,464,2011,0,84.09,94.8,110000
2771,355,2014,1,61.16,76.64,120000
473,720,2014,1,89.4,93.4,325000
2060,470,2013,1,94.75,94.0,305000
985,495,2012,0,87.05,90.4,320000
335,560,2012,0,83.2,90.0,370000
551,570,2013,1,70.0,87.0,300000
1285,475,2014,1,71.4,82.0,175000
328,460,2009,0,61.0,59.0,150000
2500,485,2010,0,84.0,76.0,525000
66,370,2013,1,63.0,74.0,110000
1554,525,2012,0,87.17,86.85,355000
718,615,2011,0,84.4,74.0,180000
2630,720,2013,1,82.7,91.8,180000
1714,665,2013,1,68.2,65.71,180000
140,405,2010,0,64.0,74.0,335000
1097,415,2012,0,62.6,80.0,95000
1029,595,2012,0,80.33,89.6,490000
1082,375,2012,0,89.3,81.9,120000
1515,355,2014,1,63.8,61.0,120000
2309,650,2014,1,94.6,88.44,305000
2754,544,2012,0,66.6,69.0,210000
583,325,2011,0,50.0,67.6,145000
2928,545,2014,1,95.08,97.0,200000
1646,535,2013,1,62.5,79.0,120000
2144,405,2014,1,67.17,90.24,400000
2747,325,2012,0,61.0,70.0,250000
1119,405,2013,1,71.52,78.57,200000
102,620,2014,1,88.0,76.2,180000
1465,525,2014,1,88.75,84.0,325000
2423,505,2010,0,74.4,74.4,350000
2527,515,2013,1,78.0,67.0,120000
2702,455,2014,1,81.66,82.56,400000
278,380,2014,1,64.6,71.0,225000
1757,475,2012,0,68.6,75.6,100000
185,625,2012,0,79.4,78.0,455000
2113,225,2011,0,77.0,61.0,60000
2624,450,2013,1,71.0,79.33,150000
1193,590,2012,0,69.89,76.0,520000
1801,650,2014,1,81.0,70.0,290000
2845,475,2014,1,57.1,66.67,180000
724,505,2013,1,77.86,72.0,165000
2790,380,2014,1,80.8,78.08,200000
19,595,2013,1,68.67,79.29,360000
1150,554,2012,0,73.6,72.0,400000
468,545,2013,1,71.0,81.0,95000
2980,570,2014,1,92.25,80.4,380000
54,330,2014,1,66.0,53.4,240000
1213,595,2012,0,75.66,77.22,335000
1985,455,2013,1,94.4,86.0,220000
1088,705,2010,0,58.6,72.5,1300000
2239,765,2011,0,66.66,66.0,140000
2752,495,2010,0,60.0,70.0,160000
1948,500,2012,0,91.5,87.0,350000
2259,295,2014,1,74.0,55.0,145000
1137,475,2010,0,55.5,52.09,280000
2102,325,2014,1,70.0,70.0,170000
750,625,2011,0,80.0,83.2,400000
1588,635,2013,1,80.5,71.5,310000
1126,430,2014,1,75.0,84.6,170000
82,620,2013,1,84.67,88.8,305000
122,515,2014,1,62.0,63.0,180000
2953,635,2011,0,81.4,82.4,400000
1832,615,2011,0,93.2,95.4,500000
2877,515,2012,0,53.8,78.8,400000
2048,355,2012,0,64.43,69.54,350000
2809,715,2011,0,86.0,81.0,450000
2566,645,2014,1,71.25,65.0,215000
1602,310,2013,1,54.14,59.71,145000
2933,485,2011,0,63.0,75.0,360000
1372,705,2014,1,82.4,84.83,300000
1571,570,2014,1,84.0,91.68,325000
689,475,2010,0,59.0,54.4,170000
1146,455,2014,1,68.0,64.4,220000
1069,465,2011,0,60.8,65.5,500000
214,515,2013,1,77.0,73.0,410000
2303,525,2015,1,68.0,69.6,120000
1839,650,2013,1,87.0,84.0,600000
2487,330,2013,1,60.0,64.0,155000
1695,415,2011,0,68.69,73.0,450000
2617,320,2014,1,69.88,78.72,200000
1322,485,2012,0,90.17,85.46,250000
1076,620,2013,1,65.2,69.0,420000
796,615,2010,0,95.0,87.8,475000
2156,390,2015,1,71.0,81.8,240000
2580,615,2011,0,81.0,73.5,330000
2421,605,2013,1,79.6,82.0,380000
315,465,2013,1,72.0,84.0,300000
1962,650,2014,1,84.4,93.0,120000
159,585,2014,1,81.2,82.4,75000
2005,565,2011,0,72.2,83.2,320000
318,545,2011,0,69.4,79.0,370000
717,870,2014,1,91.2,94.6,320000
2521,690,2013,1,78.0,90.6,240000
2993,445,2010,0,73.0,75.0,120000
190,680,2013,1,79.16,73.94,380000
598,465,2011,0,79.6,77.8,340000
978,400,2013,1,74.0,73.0,350000
1533,595,2011,0,93.1,86.5,325000
2033,315,2011,0,74.0,76.0,210000
2165,560,2013,1,80.6,85.0,290000
2301,270,2014,1,68.0,78.0,265000
1716,500,2013,1,59.0,63.66,180000
2233,295,2013,1,73.8,86.92,95000
1763,615,2011,0,93.6,84.5,480000
811,725,2012,0,87.0,92.8,1200000
2204,525,2010,0,66.0,79.0,375000
534,530,2012,0,68.0,74.0,180000
2473,750,2013,1,70.2,79.6,325000
479,635,2014,1,81.0,81.0,300000
2077,625,2010,0,71.0,71.0,550000
2419,690,2014,1,88.8,92.0,325000
974,455,2012,0,82.0,85.6,205000
2983,565,2010,0,79.75,93.2,200000
1295,450,2013,1,95.0,86.0,100000
726,275,2012,0,65.0,52.0,230000
1540,405,2010,0,54.0,65.0,435000
1421,735,2012,0,93.9,83.66,360000
2326,500,2014,1,72.77,59.33,120000
1358,404,2012,0,74.0,73.0,405000
1758,605,2014,1,77.6,92.5,230000
2722,695,2011,0,60.2,86.2,445000
1998,555,2012,0,82.53,84.0,655000
1976,615,2010,0,81.0,86.0,220000
2697,494,2012,0,84.17,85.0,330000
2488,520,2014,1,94.7,88.6,400000
1008,620,2015,1,83.0,83.0,180000
2996,505,2011,0,65.16,88.64,530000
1228,595,2013,1,90.0,79.0,325000
408,515,2013,1,60.0,59.0,300000
434,525,2012,0,78.0,76.0,325000
2944,665,2013,1,68.0,71.5,420000
219,665,2014,1,82.0,85.0,325000
383,705,2013,1,75.2,86.83,415000
1794,705,2010,0,91.3,89.4,850000
272,445,2012,0,68.0,82.4,485000
88,615,2012,0,96.6,82.3,310000
1726,285,2010,0,59.0,76.64,470000
813,445,2014,1,63.0,72.0,180000
866,440,2014,1,81.0,83.6,275000
1784,405,2014,1,58.5,70.6,200000
2774,225,2010,0,81.75,71.4,125000
268,560,2013,1,73.0,83.0,325000
481,430,2014,1,81.2,65.0,205000
1567,315,2011,0,73.3,51.36,200000
561,390,2013,1,63.4,70.2,200000
1760,605,2012,0,80.4,86.4,180000
205,605,2014,1,78.83,89.5,300000
2413,650,2013,1,95.3,92.5,325000
1516,620,2013,1,86.8,88.67,325000
2054,635,2012,0,71.8,83.2,300000
1428,530,2011,0,74.0,82.0,545000
1382,650,2013,1,90.4,83.4,335000
2586,605,2011,0,63.6,67.5,180000
347,485,2013,1,80.25,83.8,315000
2823,585,2012,0,88.0,94.0,500000
1145,470,2014,1,68.77,66.5,105000
658,515,2014,1,83.5,88.3,200000
590,585,2014,1,67.0,83.89,200000
2096,680,2013,1,91.0,88.4,400000
1592,615,2013,1,94.4,95.6,625000
89,510,2013,1,68.0,78.0,375000
2396,555,2011,0,59.0,62.34,240000
644,250,2014,1,72.8,71.6,90000
760,400,2013,1,73.0,72.0,335000
1050,465,2014,1,83.0,80.33,320000
177,495,2014,1,73.0,81.0,360000
823,595,2013,1,74.0,69.0,220000
1543,295,2013,1,84.7,87.0,300000
1234,750,2013,1,65.0,86.0,110000
2062,650,2014,1,94.6,92.6,655000
2668,615,2011,0,66.0,60.14,135000
1117,765,2013,1,91.0,91.0,240000
2108,650,2012,0,71.0,77.0,360000
1520,675,2013,1,80.5,80.53,350000
2311,545,2011,0,69.0,55.0,505000
2333,405,2014,1,79.0,78.6,330000
1652,780,2013,1,95.7,90.5,450000
785,355,2013,1,78.0,75.0,100000
2,505,2011,0,85.17,77.33,255000
1657,855,2014,1,80.0,91.2,325000
2242,505,2014,1,81.0,81.6,300000
108,265,2013,1,63.0,69.4,200000
1804,495,2013,1,70.0,82.0,390000
1665,605,2014,1,88.0,88.0,300000
2166,750,2013,1,82.6,80.0,320000
171,544,2011,0,78.0,89.0,310000
412,485,2012,0,80.6,86.7,280000
1633,655,2012,0,82.6,77.6,460000
416,185,2011,0,68.3,61.2,200000
1367,545,2013,1,65.6,67.8,300000
1698,645,2013,1,65.66,69.16,550000
1294,595,2012,0,94.1,86.0,180000
2480,535,2012,0,73.8,75.2,240000
2644,425,2012,0,83.0,92.8,300000
1945,655,2011,0,79.8,86.4,445000
364,475,2013,1,85.0,89.0,200000
2445,515,2013,1,66.66,60.8,250000
2406,415,2012,0,73.67,73.06,390000
2104,475,2014,1,50.0,70.14,85000
740,375,2013,1,55.5,60.46,180000
73,385,2013,1,84.0,76.5,75000
2343,455,2012,0,70.0,56.2,200000
2393,505,2011,0,79.1,90.0,440000
2578,635,2011,0,63.0,69.33,700000
1906,695,2014,1,82.6,90.4,400000
312,370,2012,0,52.0,58.0,100000
2874,795,2013,1,84.6,84.8,515000
856,390,2014,1,70.0,57.0,180000
378,520,2014,1,90.6,80.3,180000
1738,405,2013,1,67.0,65.0,300000
1492,635,2013,1,67.6,65.0,225000
154,475,2012,0,60.0,82.0,320000
1216,560,2013,1,85.8,86.6,480000
772,445,2013,1,72.6,71.0,200000
2240,535,2014,1,78.2,88.7,300000
2611,475,2012,0,56.0,75.0,120000
2164,560,2013,1,54.8,71.33,180000
2337,475,2011,0,66.2,80.8,250000
930,440,2015,1,65.2,89.0,335000
2212,355,2013,1,77.0,86.0,100000
1878,675,2012,0,78.0,84.8,400000
308,390,2014,1,55.0,80.0,205000
1001,415,2014,1,91.33,89.2,105000
2004,515,2012,0,64.0,83.0,425000
143,525,2011,0,68.0,89.4,445000
965,415,2012,0,67.4,77.2,390000
2954,615,2011,0,89.0,87.0,520000
1080,495,2010,0,78.2,86.8,500000
1405,295,2014,1,74.0,73.06,360000
632,415,2014,1,70.0,70.0,110000
1456,465,2010,0,63.0,77.0,500000
1677,535,2012,0,68.2,73.6,300000
2482,375,2012,0,70.0,74.62,300000
955,515,2013,1,68.0,66.0,180000
1756,595,2014,1,89.7,85.33,335000
1675,605,2012,0,79.8,83.25,370000
1999,405,2012,0,85.67,70.27,100000
178,545,2013,1,68.0,55.0,180000
498,615,2011,0,67.0,78.0,660000
340,465,2014,1,85.6,80.0,355000
1670,495,2012,0,77.0,79.8,445000
484,505,2011,0,60.0,75.12,275000
1669,530,2013,1,65.2,70.8,180000
2368,355,2012,0,76.0,81.0,90000
198,235,2013,1,68.5,69.5,2000000
2765,464,2010,0,63.0,82.0,550000
1841,680,2014,1,86.8,78.2,570000
2305,330,2014,1,65.56,83.56,105000
1846,380,2014,1,65.6,68.0,95000
1166,780,2013,1,64.0,66.0,350000
2489,425,2010,0,74.53,80.0,200000
1220,460,2014,1,76.5,80.64,100000
2941,295,2012,0,80.0,63.0,100000
1339,555,2010,0,86.9,87.16,620000
2432,435,2011,0,72.5,73.73,180000
759,405,2010,0,77.5,62.88,560000
170,685,2012,0,85.8,91.6,335000
1597,620,2013,1,78.2,78.6,325000
1356,535,2014,1,70.0,76.0,330000
773,495,2011,0,77.4,84.2,405000
1673,520,2013,1,60.0,66.33,220000
2364,525,2011,0,63.9,75.1,240000
2567,345,2014,1,69.32,63.0,180000
2493,345,2014,1,60.8,60.2,95000
1598,840,2013,1,85.0,81.5,300000
992,585,2013,1,89.4,79.9,310000
45,560,2013,1,66.4,66.5,145000
2454,500,2015,1,70.08,86.16,315000
467,565,2010,0,80.0,76.7,300000
2110,495,2014,1,80.6,80.0,300000
1968,585,2010,0,88.9,78.8,120000
2224,695,2013,1,69.0,82.0,720000
2188,630,2014,1,70.0,72.2,675000
2937,635,2010,0,66.6,71.67,510000
1496,470,2013,1,83.2,78.6,340000
319,340,2013,1,63.0,74.0,350000
184,740,2015,1,81.2,91.4,150000
2097,220,2014,1,65.8,52.0,200000
1887,445,2013,1,88.3,85.0,335000
304,385,2013,1,68.3,76.2,95000
1783,620,2014,1,65.2,80.0,315000
2155,585,2012,0,97.1,83.66,320000
1854,485,2014,1,81.5,85.2,400000
839,500,2015,1,72.15,60.5,325000
2943,425,2012,0,65.0,80.0,370000
2671,330,2013,1,69.04,62.86,315000
744,355,2014,1,68.66,71.28,90000
539,500,2013,1,63.0,62.15,105000
1154,560,2014,1,71.4,82.4,320000
1642,450,2014,1,64.83,78.16,235000
801,630,2012,0,61.0,64.0,180000
2545,445,2011,0,55.8,73.8,600000
1135,680,2012,0,74.6,78.8,140000
2323,554,2012,0,79.8,80.2,415000
1422,565,2010,0,83.7,88.6,600000
210,620,2012,0,75.6,79.8,510000
1775,345,2013,1,73.6,79.8,120000
2017,554,2012,0,67.0,89.6,450000
65,545,2012,0,61.0,66.0,335000
863,860,2014,1,88.83,91.71,300000
2248,415,2014,1,69.0,74.0,205000
2035,485,2013,1,63.4,71.2,350000
203,620,2012,0,58.6,67.2,180000
1132,505,2012,0,70.2,73.33,430000
2056,605,2014,1,68.8,76.4,325000
1021,380,2013,1,84.2,82.3,100000
2715,825,2013,1,87.0,87.2,420000
1026,345,2014,1,60.0,73.0,120000
2608,380,2014,1,60.44,67.0,185000
341,495,2011,0,75.0,55.0,400000
2306,545,2011,0,70.0,75.0,280000
875,165,2013,1,79.8,78.0,110000
1506,655,2011,0,83.8,86.0,505000
1120,310,2014,1,90.7,86.5,310000
372,720,2013,1,90.7,64.2,325000
576,665,2013,1,92.5,89.0,300000
942,320,2012,0,67.0,72.0,135000
211,545,2013,1,76.0,84.4,185000
520,565,2012,0,92.7,91.0,360000
1475,345,2014,1,85.2,79.8,325000
939,365,2012,0,82.0,68.0,465000
889,380,2014,1,66.0,73.0,195000
1258,565,2012,0,54.0,59.7,180000
2584,430,2014,1,68.8,75.4,315000
1958,625,2013,1,75.4,81.2,335000
2235,470,2014,1,55.0,68.2,240000
1325,485,2013,1,86.33,86.33,360000
354,560,2014,1,87.2,84.2,300000
2577,705,2014,1,88.6,92.2,450000
96,530,2014,1,83.2,75.6,160000
1790,560,2014,1,65.0,81.6,325000
2469,585,2010,0,93.0,85.0,520000
1644,445,2012,0,91.5,82.9,335000
589,310,2013,1,60.4,58.6,200000
2012,585,2011,0,70.6,73.5,645000
1689,365,2012,0,68.0,72.0,475000
2755,495,2012,0,66.0,74.0,450000
129,425,2014,1,57.0,50.0,120000
513,435,2013,1,89.0,80.8,400000
71,455,2013,1,74.0,63.0,240000
1635,575,2013,1,81.2,87.4,350000
2903,310,2013,1,74.6,62.6,315000
2974,145,2013,1,84.5,70.3,150000
2378,740,2013,1,94.6,82.0,180000
1507,695,2014,1,87.0,85.0,450000
2494,365,2011,0,71.6,72.0,180000
2544,295,2013,1,61.3,69.0,250000
370,195,2012,0,75.91,79.4,180000
456,605,2010,0,73.0,80.0,420000
725,440,2014,1,71.0,78.0,200000
68,385,2013,1,75.33,89.44,200000
1872,510,2013,1,69.6,57.0,210000
1268,405,2011,0,83.3,83.3,110000
1793,585,2013,1,75.0,88.0,350000
881,585,2011,0,77.2,80.2,475000
2029,570,2013,1,75.69,79.0,180000
231,665,2013,1,76.4,81.2,360000
377,525,2014,1,67.8,90.0,275000
2427,385,2010,0,94.5,80.0,350000
862,345,2013,1,72.0,58.16,100000
432,475,2012,0,53.16,67.0,310000
1888,415,2010,0,80.4,84.16,630000
2758,580,2014,1,83.16,81.5,700000
1751,690,2013,1,95.0,87.0,345000
1927,405,2013,1,56.0,70.0,340000
994,430,2012,0,77.8,92.0,300000
301,515,2011,0,58.92,72.17,135000
1990,665,2013,1,80.2,80.13,95000
