,Quant,GraduationYear,experince,12percentage,10percentage,Salary
1378,445,2012,0,72.33,83.33,410000
1591,605,2011,0,78.8,84.2,440000
1143,645,2014,1,86.3,84.2,100000
2109,585,2013,1,86.0,68.3,330000
172,544,2011,0,83.0,87.4,450000
1679,500,2014,1,77.0,81.6,145000
2484,545,2012,0,66.0,63.0,240000
1248,555,2014,1,67.3,66.6,180000
814,750,2014,1,69.0,86.4,180000
208,524,2011,0,77.0,75.6,275000
218,525,2014,1,81.0,87.0,300000
948,545,2013,1,79.8,82.6,450000
16,485,2011,0,75.8,81.7,500000
2270,575,2013,1,64.0,76.8,180000
367,535,2014,1,66.0,70.0,200000
1406,635,2014,1,67.2,81.0,275000
1128,635,2013,1,66.8,60.2,440000
884,390,2013,1,91.8,90.0,320000
1319,405,2014,1,94.5,89.4,205000
1388,370,2012,0,65.8,57.0,105000
2674,470,2014,1,76.0,83.0,250000
2792,510,2014,1,95.4,89.0,450000
1929,575,2013,1,82.0,96.48,550000
2613,510,2014,1,78.0,74.0,180000
2442,380,2013,1,61.4,62.0,140000
1935,500,2012,0,75.5,75.46,205000
394,485,2014,1,74.8,78.6,350000
2198,515,2013,1,61.6,71.2,160000
1624,310,2014,1,67.8,77.0,160000
984,405,2010,0,76.0,87.0,300000
2940,575,2012,0,70.0,77.0,400000
542,415,2012,0,91.2,75.0,155000
803,485,2011,0,65.5,58.8,110000
677,375,2013,1,66.0,63.5,144000
406,795,2012,0,62.6,77.33,220000
1459,525,2011,0,60.6,63.16,660000
2015,340,2013,1,68.2,62.2,180000
1819,605,2014,1,76.0,69.0,180000
552,435,2011,0,60.8,73.2,80000
362,665,2014,1,81.2,81.8,325000
549,400,2013,1,68.0,66.0,180000
970,695,2011,0,63.3,71.0,600000
2370,590,2013,1,93.4,84.0,350000
38,365,2014,1,62.0,64.0,180000
940,415,2014,1,74.6,73.1,180000
81,454,2011,0,79.87,85.92,315000
1923,680,2013,1,89.0,87.88,360000
788,385,2010,0,82.6,82.2,335000
1730,475,2011,0,66.4,70.4,330000
2804,575,2012,0,70.4,67.1,120000
877,400,2013,1,60.0,87.0,220000
355,605,2013,1,92.75,90.06,300000
1676,395,2011,0,59.4,62.0,150000
1559,465,2014,1,83.9,86.17,105000
1299,405,2013,1,76.0,91.6,220000
2935,495,2013,1,78.8,89.2,300000
2317,575,2014,1,78.0,79.0,180000
2034,545,2011,0,69.9,74.4,230000
2075,575,2014,1,79.83,93.38,330000
642,605,2013,1,74.0,84.5,300000
1957,505,2010,0,73.6,72.4,560000
554,470,2013,1,71.67,87.2,180000
2819,560,2013,1,70.4,80.8,380000
693,500,2013,1,86.0,76.0,120000
2232,720,2017,1,81.2,90.0,300000
2873,415,2014,1,85.4,77.0,80000
2481,525,2014,1,84.0,84.0,350000
649,655,2011,0,96.3,90.0,870000
1943,545,2013,1,84.6,75.2,295000
2478,370,2014,1,85.5,76.7,240000
1223,720,2014,1,79.5,96.0,325000
420,635,2013,1,94.0,88.0,500000
593,285,2015,1,70.0,85.0,1025000
559,695,2014,1,83.6,91.0,350000
339,325,2013,1,68.5,81.16,275000
2180,705,2014,1,87.25,89.2,400000
1089,515,2012,0,68.0,84.0,225000
2666,690,2013,1,83.6,76.8,290000
706,405,2012,0,69.7,74.4,440000
2561,545,2012,0,82.0,82.0,50000
2133,375,2012,0,58.0,71.0,340000
2193,605,2014,1,65.8,69.0,200000
2390,320,2014,1,75.2,64.8,150000
1802,415,2014,1,87.8,85.6,325000
1444,575,2010,0,91.9,81.33,180000
2934,475,2012,0,81.5,78.4,180000
960,585,2013,1,69.83,83.5,190000
1265,560,2013,1,53.6,70.4,180000
1164,575,2013,1,66.6,63.4,310000
371,545,2012,0,69.0,71.0,200000
2986,695,2013,1,76.4,85.6,375000
2325,485,2013,1,61.0,71.0,210000
2074,620,2013,1,80.4,67.5,400000
1493,415,2011,0,64.0,54.0,300000
1575,560,2014,1,90.9,82.33,420000
1694,595,2010,0,91.0,86.5,615000
1484,635,2014,1,60.0,75.0,250000
1786,590,2014,1,86.0,68.8,305000
500,750,2013,1,73.0,87.0,395000
147,334,2012,0,59.0,77.6,120000
1858,465,2012,0,81.5,84.93,105000
258,415,2013,1,64.0,63.0,105000
2055,425,2012,0,80.0,86.0,205000
769,595,2014,1,88.9,91.6,300000
13,705,2014,1,82.1,90.0,550000
635,415,2011,0,62.0,62.0,350000
1892,470,2014,1,50.0,74.0,215000
2132,525,2010,0,61.2,53.6,240000
1296,370,2014,1,53.0,68.0,245000
114,455,2013,1,72.2,69.0,375000
1816,415,2010,0,71.66,80.64,400000
1594,500,2014,1,92.3,88.0,275000
957,620,2014,1,83.25,88.6,325000
2824,545,2014,1,68.4,75.3,100000
241,555,2013,1,57.83,61.6,350000
541,555,2011,0,80.0,87.0,470000
1354,685,2012,0,93.0,85.0,500000
1770,485,2013,1,70.0,85.0,200000
679,565,2012,0,90.3,84.0,500000
2990,555,2012,0,89.6,69.3,500000
56,455,2012,0,60.0,71.5,240000
1252,554,2011,0,86.8,86.33,360000
2868,695,2012,0,73.17,74.5,180000
2794,615,2012,0,90.2,78.83,360000
435,620,2013,1,95.1,85.0,345000
2433,570,2013,1,78.0,77.8,315000
1057,560,2013,1,66.4,68.6,180000
2915,495,2011,0,77.5,85.06,380000
155,485,2011,0,73.8,70.0,715000
2140,620,2014,1,72.0,78.0,350000
2994,395,2012,0,77.0,84.0,120000
1361,430,2013,1,54.0,54.0,100000
1016,620,2013,1,69.4,72.6,310000
60,570,2014,1,86.5,91.6,300000
29,585,2012,0,68.2,71.8,200000
782,650,2014,1,76.0,78.2,195000
35,385,2012,0,69.17,80.13,215000
2515,524,2014,1,63.33,64.0,40000
1446,530,2013,1,63.6,82.6,350000
1171,435,2012,0,63.0,64.0,50000
1650,485,2013,1,95.2,92.5,190000
1310,285,2014,1,78.0,87.0,95000
1060,415,2014,1,71.0,84.0,125000
358,650,2013,1,96.1,92.5,390000
1123,590,2012,0,67.6,79.4,405000
499,800,2014,1,91.4,93.2,450000
2629,545,2014,1,70.4,84.6,375000
2426,400,2014,1,55.55,65.0,165000
524,295,2013,1,82.5,72.6,300000
1200,485,2012,0,79.8,87.2,430000
737,565,2012,0,89.0,86.7,300000
50,425,2012,0,69.0,78.0,300000
265,405,2012,0,73.8,71.66,150000
2810,715,2012,0,69.2,70.4,470000
1585,650,2013,1,77.4,85.8,390000
1664,680,2013,1,72.0,83.0,220000
1315,545,2012,0,74.2,91.67,240000
1518,595,2011,0,62.7,81.6,440000
2862,485,2012,0,93.0,86.66,100000
2840,715,2013,1,68.0,65.0,240000
2142,665,2013,1,68.2,72.67,335000
2088,625,2012,0,83.0,87.0,415000
336,560,2013,1,66.17,69.53,220000
548,255,2013,1,73.0,75.0,80000
2355,625,2011,0,80.0,80.4,650000
1156,445,2014,1,91.7,77.0,305000
887,425,2013,1,78.0,89.0,400000
1721,385,2012,0,58.0,66.0,180000
2914,780,2013,1,85.8,86.33,335000
494,390,2013,1,60.4,61.0,335000
580,620,2013,1,86.8,94.4,350000
2137,590,2016,1,91.0,92.0,400000
2351,440,2013,1,67.4,70.2,120000
431,530,2013,1,70.0,75.52,220000
1189,615,2012,0,59.0,75.62,100000
1229,545,2012,0,72.8,76.2,225000
2448,430,2013,1,67.0,70.0,220000
2926,485,2011,0,58.4,43.0,110000
212,530,2012,0,72.0,72.0,490000
2568,470,2013,1,79.0,81.0,375000
1064,405,2011,0,80.1,83.3,395000
1245,485,2014,1,70.04,88.8,325000
75,615,2014,1,87.1,78.0,140000
2395,500,2012,0,67.0,73.5,190000
1748,605,2011,0,69.0,65.0,200000
1312,605,2015,1,80.2,81.0,300000
2770,554,2012,0,75.5,69.73,350000
1031,585,2010,0,82.5,83.0,430000
2606,625,2012,0,91.9,82.0,255000
247,705,2013,1,80.4,90.4,410000
1595,565,2011,0,72.0,70.0,315000
1680,590,2013,1,63.0,71.0,180000
2875,220,2012,0,72.4,54.5,280000
1500,475,2010,0,62.6,69.0,215000
1918,455,2011,0,78.66,84.8,420000
1919,520,2013,1,88.1,88.1,345000
186,655,2013,1,69.0,77.0,240000
2115,325,2013,1,75.0,64.53,180000
668,535,2010,0,82.71,87.58,185000
2020,265,2013,1,49.0,54.0,360000
1336,575,2011,0,84.0,86.0,240000
8,440,2014,1,87.7,76.8,195000
2072,395,2012,0,74.0,93.6,385000
1622,475,2011,0,61.0,81.0,80000
1979,470,2014,1,82.0,83.0,430000
2124,560,2014,1,78.0,86.0,400000
1075,560,2013,1,64.5,71.5,335000
2085,585,2012,0,82.2,82.4,360000
631,720,2013,1,79.8,74.0,460000
293,575,2013,1,70.8,71.0,240000
1781,530,2014,1,93.4,91.0,325000
2203,445,2011,0,82.0,78.0,325000
1655,405,2013,1,66.4,64.3,480000
1105,575,2014,1,71.6,85.4,500000
32,720,2013,1,74.0,83.6,450000
134,590,2013,1,82.6,90.8,280000
1124,430,2013,1,89.7,86.3,240000
2161,450,2013,1,94.5,90.0,120000
445,405,2011,0,80.0,72.0,340000
1668,385,2011,0,59.6,75.0,120000
226,325,2014,1,76.7,85.0,205000
464,355,2015,1,67.4,68.2,300000
455,485,2014,1,60.0,49.0,150000
2923,405,2012,0,88.0,75.0,165000
2963,645,2013,1,90.6,85.8,560000
2130,495,2012,0,87.0,90.0,335000
999,250,2014,1,64.0,59.0,60000
2262,260,2013,1,64.0,67.0,110000
1681,515,2011,0,66.0,65.5,240000
2316,620,2013,1,80.0,85.0,305000
1809,465,2012,0,74.0,75.0,200000
752,525,2014,1,72.0,78.0,225000
2911,680,2014,1,96.0,87.0,325000
1946,455,2013,1,70.2,65.17,180000
2050,390,2014,1,77.8,81.0,145000
533,324,2011,0,64.0,74.0,215000
243,370,2013,1,85.0,83.0,325000
1704,575,2013,1,76.0,84.0,320000
401,430,2013,1,65.0,72.0,185000
2032,545,2014,1,73.4,84.16,280000
1984,575,2013,1,72.0,68.0,500000
1495,245,2012,0,74.8,62.4,300000
585,575,2013,1,53.0,60.0,180000
244,560,2013,1,86.5,84.3,380000
2219,620,2013,1,83.7,86.34,120000
2657,630,2015,1,89.8,76.0,330000
1340,585,2013,1,65.8,78.0,345000
1501,630,2013,1,92.5,90.83,400000
450,465,2013,1,66.0,81.0,245000
1227,665,2013,1,89.8,94.2,315000
1182,655,2014,1,85.4,86.0,300000
2730,765,2013,1,77.0,80.0,335000
2314,355,2013,1,87.9,79.0,1500000
471,320,2014,1,66.66,80.0,180000
2183,575,2015,1,79.0,80.4,340000
2718,425,2011,0,62.0,75.83,80000
2585,425,2010,0,82.0,78.0,50000
1674,705,2013,1,64.6,69.85,300000
2058,465,2012,0,65.5,81.86,320000
1787,840,2014,1,81.4,82.6,350000
1833,500,2014,1,92.0,88.6,305000
611,665,2014,1,90.0,88.0,300000
1407,545,2014,1,89.0,87.0,315000
2907,430,2012,0,68.67,71.06,350000
2302,445,2013,1,65.0,83.0,205000
2329,520,2015,1,89.3,84.0,300000
2103,390,2014,1,60.13,75.0,180000
2297,475,2012,0,65.6,74.2,350000
2093,370,2013,1,62.81,66.46,110000
1218,650,2014,1,78.0,74.0,305000
1776,655,2012,0,88.33,86.0,430000
1498,415,2015,1,72.0,79.85,300000
2627,565,2011,0,63.6,68.8,120000
1729,515,2013,1,69.0,78.0,300000
540,135,2013,1,56.8,67.12,80000
110,615,2011,0,73.8,85.0,400000
1631,635,2012,0,90.0,93.44,800000
510,570,2014,1,66.8,73.37,340000
1613,475,2014,1,64.0,63.0,325000
1995,595,2014,1,93.0,90.0,560000
2716,355,2012,0,70.0,73.0,600000
2045,485,2013,1,64.88,78.66,240000
1719,525,2012,0,82.3,74.0,430000
1607,555,2014,1,85.0,91.3,325000
2345,485,2013,1,85.0,95.0,315000
78,735,2014,1,87.69,88.67,700000
2134,535,2010,0,93.5,92.1,555000
1996,475,2011,0,68.6,66.6,120000
313,680,2013,1,61.0,66.33,300000
1307,525,2010,0,77.4,79.16,2000000
911,515,2013,1,78.4,86.6,240000
697,545,2012,0,74.2,77.8,140000
466,575,2014,1,72.66,92.48,320000
1019,475,2013,1,65.4,72.8,345000
363,524,2012,0,78.4,81.33,120000
1842,310,2014,1,88.0,86.0,220000
2796,765,2012,0,85.0,75.0,340000
1344,560,2013,1,90.2,86.7,335000
1360,430,2013,1,70.14,78.44,120000
2538,330,2014,1,62.0,53.0,145000
2069,305,2011,0,73.0,76.0,150000
2464,395,2012,0,62.26,62.34,235000
2938,510,2015,1,81.5,80.5,280000
1524,575,2011,0,70.0,80.0,300000
1034,605,2013,1,55.2,60.0,180000
83,680,2013,1,75.4,73.8,335000
79,585,2012,0,73.33,58.33,120000
662,555,2010,0,70.0,64.0,150000
1439,575,2014,1,54.83,85.33,325000
2920,765,2014,1,69.0,92.6,310000
919,665,2013,1,88.0,76.0,300000
1440,345,2015,1,88.8,92.0,350000
2416,630,2014,1,72.0,71.2,265000
2789,620,2013,1,82.75,77.9,430000
2126,544,2011,0,63.6,85.0,515000
808,585,2011,0,71.9,62.0,150000
1510,535,2010,0,49.5,64.0,150000
656,500,2014,1,82.55,74.88,300000
1921,355,2014,1,86.6,82.6,320000
1442,645,2012,0,91.0,92.93,585000
2832,175,2015,1,67.57,79.75,100000
858,645,2014,1,77.4,69.2,350000
1803,500,2013,1,64.0,71.0,210000
2686,470,2014,1,67.0,68.0,120000
2436,450,2013,1,66.3,80.88,145000
2557,615,2011,0,73.4,75.2,215000
844,370,2013,1,70.83,70.61,200000
833,545,2014,1,74.0,85.0,220000
1614,405,2011,0,90.7,79.8,650000
213,590,2014,1,83.0,85.8,300000
2626,545,2014,1,72.0,82.4,225000
131,680,2014,1,76.0,93.8,325000
439,380,2014,1,58.2,85.5,305000
2547,665,2013,1,83.6,82.25,225000
1609,735,2013,1,85.2,84.0,350000
853,415,2014,1,62.2,64.6,175000
448,500,2013,1,56.2,55.6,180000
2661,525,2013,1,68.2,76.0,205000
2399,395,2011,0,66.67,66.3,410000
2420,425,2011,0,64.0,60.0,240000
1727,575,2010,0,75.2,83.8,650000
103,454,2012,0,78.2,85.33,250000
523,705,2013,1,80.2,86.0,500000
1102,605,2014,1,86.4,88.4,325000
1821,554,2013,1,65.0,56.0,120000
1415,220,2013,1,47.6,45.33,145000
165,560,2014,1,83.8,86.0,505000
2556,485,2014,1,61.7,68.14,190000
907,560,2014,1,81.0,85.0,400000
2505,525,2011,0,71.0,77.16,460000
1860,465,2011,0,90.0,83.0,280000
2229,370,2014,1,87.5,88.66,140000
1741,690,2014,1,79.0,86.0,315000
395,445,2013,1,59.4,67.0,255000
625,655,2014,1,78.43,84.83,785000
695,380,2013,1,60.2,62.0,240000
947,500,2014,1,75.2,75.4,325000
761,340,2014,1,75.75,90.0,100000
1383,405,2012,0,72.0,82.0,110000
2572,585,2012,0,86.0,82.0,120000
1401,535,2012,0,75.6,81.0,360000
645,485,2011,0,49.5,66.5,60000
2773,530,2013,1,78.0,84.0,500000
2286,570,2014,1,75.6,62.3,180000
2929,365,2011,0,64.0,72.0,90000
1882,270,2013,1,81.0,74.0,95000
771,545,2013,1,66.0,76.0,300000
2687,340,2012,0,73.11,82.8,405000
51,725,2014,1,65.4,65.0,300000
1375,345,2015,1,66.0,58.83,180000
1121,590,2014,1,80.0,82.0,325000
2725,505,2012,0,82.0,87.3,430000
1035,605,2012,0,60.66,69.0,435000
2145,470,2014,1,70.0,86.0,320000
2555,675,2011,0,85.4,88.5,655000
111,575,2010,0,90.6,85.6,720000
183,390,2015,1,64.5,71.1,150000
613,510,2014,1,62.12,73.0,200000
2266,555,2011,0,80.0,92.8,395000
1706,535,2010,0,86.67,78.0,150000
1557,375,2009,0,62.16,75.04,160000
2977,390,2013,1,70.0,71.0,180000
1711,620,2013,1,74.8,80.2,360000
1178,535,2013,1,82.0,85.6,220000
2129,455,2012,0,67.8,69.2,450000
397,585,2014,1,67.2,79.2,155000
1291,465,2013,1,59.0,80.0,150000
1630,545,2011,0,72.8,74.6,310000
2574,505,2011,0,68.7,68.8,240000
1743,465,2012,0,84.0,80.0,200000
2136,665,2013,1,65.0,75.0,105000
2086,495,2010,0,62.0,67.0,1200000
2231,355,2014,1,86.0,82.0,315000
571,465,2014,1,70.0,75.0,315000
2995,485,2011,0,65.56,91.4,385000
2635,415,2013,1,64.4,69.5,520000
2295,585,2010,0,88.77,90.83,4000000
1534,465,2011,0,52.0,69.0,180000
2696,605,2011,0,83.2,79.4,180000
1874,305,2011,0,72.46,77.2,200000
356,705,2014,1,81.2,89.42,560000
608,780,2012,0,85.0,85.4,500000
239,425,2011,0,92.0,86.6,515000
2905,470,2013,1,53.0,81.0,70000
2519,340,2014,1,62.6,68.6,50000
2167,440,2014,1,65.0,76.8,100000
1814,525,2011,0,82.2,84.4,340000
374,425,2012,0,79.83,87.63,500000
2822,305,2012,0,73.0,74.18,110000
1937,475,2011,0,74.0,71.0,450000
1321,590,2013,1,81.0,77.4,280000
1125,605,2014,1,68.4,73.0,145000
1527,705,2013,1,80.25,81.2,420000
2414,565,2012,0,56.22,65.85,240000
729,605,2010,0,62.0,62.0,480000
1391,735,2013,1,79.0,81.0,325000
2670,625,2010,0,53.0,64.0,360000
1408,780,2014,1,60.0,71.0,820000
2952,485,2013,1,76.0,76.4,300000
382,630,2014,1,73.2,79.6,510000
1502,515,2013,1,72.0,70.0,180000
2632,625,2012,0,69.0,70.0,365000
1320,635,2013,1,93.9,92.3,300000
2523,665,2013,1,90.2,83.6,330000
1233,635,2013,1,91.0,94.24,305000
2294,355,2010,0,71.5,76.36,115000
681,605,2013,1,77.0,76.0,300000
2287,645,2012,0,94.9,89.5,150000
1274,255,2014,1,74.0,70.0,150000
123,390,2014,1,63.0,63.0,260000
660,465,2014,1,70.0,81.0,300000
1796,535,2012,0,84.4,84.4,440000
1960,645,2013,1,66.8,77.0,325000
2616,515,2012,0,65.83,79.68,155000
230,465,2013,1,67.17,62.4,140000
901,585,2012,0,67.0,80.6,400000
2392,560,2014,1,64.8,68.6,300000
765,645,2012,0,62.4,60.8,200000
2428,605,2012,0,75.0,71.0,500000
2444,385,2012,0,77.0,89.92,480000
2411,585,2013,1,89.26,90.0,325000
1745,425,2011,0,81.33,82.2,400000
787,525,2011,0,82.0,91.0,450000
2149,435,2011,0,72.4,71.17,200000
2640,635,2011,0,75.0,75.0,420000
2356,475,2014,1,50.2,78.4,240000
421,615,2012,0,61.0,61.75,375000
2458,370,2013,1,59.9,66.8,110000
1873,535,2010,0,94.7,94.7,205000
2138,435,2012,0,66.6,89.8,300000
798,320,2014,1,75.5,81.0,200000
1870,590,2013,1,83.0,88.0,240000
2007,470,2014,1,64.0,85.2,240000
626,535,2012,0,84.0,86.0,460000
495,385,2014,1,66.4,84.6,325000
2457,310,2014,1,69.0,59.0,120000
1616,590,2013,1,76.33,85.5,300000
1782,525,2012,0,92.8,86.0,210000
2206,380,2015,1,59.0,82.0,100000
1890,605,2013,1,83.34,85.38,490000
790,605,2013,1,87.9,81.6,335000
2764,575,2012,0,61.0,64.0,140000
2805,605,2013,1,96.8,90.3,280000
2409,665,2014,1,63.0,93.4,405000
417,680,2014,1,76.7,78.6,120000
742,560,2014,1,83.83,85.76,315000
2127,635,2010,0,61.6,68.8,1300000
1214,355,2014,1,88.0,80.6,200000
492,515,2014,1,71.6,66.6,220000
1909,310,2013,1,81.0,84.0,275000
1169,650,2012,0,62.4,75.4,360000
1342,500,2012,0,74.0,83.0,240000
824,305,2012,0,73.0,85.0,100000
2474,590,2013,1,87.8,88.0,120000
2380,665,2013,1,60.8,73.8,335000
1481,525,2011,0,68.0,84.8,180000
2841,605,2014,1,74.4,85.0,325000
2656,635,2012,0,80.0,88.0,480000
1024,605,2011,0,63.0,65.0,2500000
592,520,2014,1,57.5,89.12,120000
2539,450,2012,0,79.6,82.0,205000
2871,345,2010,0,72.0,81.4,325000
2701,500,2013,1,72.0,92.0,300000
1797,545,2013,1,91.25,87.8,300000
2800,645,2011,0,95.4,89.6,480000
127,635,2014,1,85.6,91.6,340000
2534,635,2014,1,80.7,80.6,400000
403,500,2014,1,84.4,89.6,315000
150,405,2013,1,89.0,80.0,145000
2890,465,2012,0,63.16,73.66,415000
1437,385,2010,0,82.56,73.0,120000
1629,405,2014,1,72.0,83.0,225000
62,405,2013,1,83.0,78.5,200000
2256,340,2013,1,66.0,76.0,240000
95,665,2013,1,78.0,77.0,100000
959,440,2014,1,71.3,79.0,200000
2191,465,2011,0,55.0,63.0,530000
2347,695,2011,0,76.89,82.33,470000
1576,585,2012,0,93.7,87.33,240000
2358,370,2015,1,55.0,59.0,95000
2153,535,2015,1,73.2,84.4,250000
236,510,2014,1,72.8,72.4,325000
222,590,2013,1,64.33,77.86,525000
2806,525,2013,1,69.0,78.0,200000
1810,385,2013,1,64.0,65.0,150000
120,585,2014,1,91.2,91.0,615000
1685,415,2010,0,78.0,81.0,400000
193,665,2014,1,78.0,76.0,320000
2283,560,2014,1,55.0,63.0,105000
181,510,2014,1,87.2,83.5,350000
389,460,2014,1,74.45,73.4,190000
968,720,2013,1,84.0,82.33,350000
2451,165,2013,1,63.4,75.06,55000
1545,325,2011,0,67.4,73.6,300000
669,565,2010,0,82.6,88.6,650000
1365,475,2012,0,77.0,86.12,415000
1394,475,2011,0,68.0,62.5,300000
331,415,2014,1,89.0,92.48,350000
614,635,2012,0,89.66,88.0,200000
1286,655,2013,1,87.4,86.0,325000
266,570,2014,1,77.8,91.2,210000
1932,405,2014,1,89.5,84.0,105000
2199,485,2014,1,67.0,58.0,180000
1807,370,2013,1,83.62,90.08,250000
225,630,2014,1,90.6,89.0,305000
105,454,2010,0,73.6,45.6,100000
1508,554,2012,0,89.67,87.6,390000
2945,655,2014,1,89.8,90.4,325000
630,400,2014,1,62.6,86.0,300000
2068,415,2011,0,68.0,68.4,160000
870,595,2014,1,76.4,81.14,275000
2290,725,2012,0,84.0,75.0,420000
2098,470,2013,1,58.0,56.0,345000
1186,310,2012,0,65.0,77.0,180000
1891,645,2013,1,79.23,82.0,240000
1755,400,2014,1,76.6,82.8,260000
1926,655,2011,0,73.4,72.4,520000
707,620,2013,1,69.4,68.4,180000
2564,365,2012,0,62.5,78.08,415000
2524,275,2012,0,61.0,64.0,100000
2220,575,2014,1,78.0,82.0,265000
1688,395,2014,1,59.9,72.0,120000
284,810,2012,0,74.0,57.67,260000
1659,705,2013,1,89.4,90.0,325000
920,450,2014,1,58.0,67.0,145000
1433,625,2011,0,69.4,75.6,320000
2569,515,2013,1,72.4,80.63,380000
2422,595,2012,0,69.0,81.67,415000
734,295,2010,0,77.0,76.0,320000
1812,555,2012,0,53.0,82.0,320000
2966,455,2013,1,78.2,79.8,360000
922,235,2014,1,68.0,78.0,205000
1402,485,2013,1,86.6,83.4,420000
2812,575,2012,0,78.4,88.8,355000
167,430,2013,1,50.0,65.0,240000
2273,560,2013,1,68.8,77.4,105000
2779,270,2013,1,62.0,66.0,250000
12,605,2013,1,88.0,85.0,480000
1546,470,2013,1,68.0,72.0,100000
617,210,2013,1,56.0,50.0,190000
1092,575,2013,1,74.12,88.36,355000
90,500,2014,1,54.2,66.7,240000
612,415,2013,1,65.0,66.0,180000
2709,455,2012,0,72.6,76.2,450000
1404,535,2013,1,61.0,72.0,300000
857,385,2011,0,50.0,65.0,100000
2465,565,2010,0,81.0,78.0,415000
777,525,2013,1,85.0,91.8,350000
1638,560,2014,1,72.0,78.0,200000
1986,630,2014,1,86.0,81.0,300000
2352,355,2013,1,61.5,71.76,130000
2837,545,2013,1,66.6,78.6,105000
28,570,2014,1,75.0,78.0,240000
1522,320,2014,1,66.0,55.5,180000
1066,335,2011,0,61.0,62.0,415000
1911,515,2011,0,69.0,65.0,120000
74,575,2011,0,60.0,70.0,330000
515,605,2012,0,70.0,72.0,400000
1309,570,2014,1,94.0,93.0,450000
2227,525,2012,0,81.33,76.87,455000
2002,470,2014,1,70.6,73.0,180000
2157,380,2014,1,60.6,55.33,240000
1584,445,2009,0,67.0,72.0,150000
1517,435,2011,0,71.3,73.0,400000
116,515,2013,1,72.3,83.2,350000
2341,400,2014,1,69.6,85.6,150000
1072,695,2010,0,82.4,90.2,375000
1799,375,2011,0,67.0,67.0,85000
2719,565,2011,0,86.0,81.0,360000
1600,430,2013,1,83.1,80.0,155000
622,505,2014,1,77.4,84.0,200000
409,605,2012,0,83.0,84.8,260000
1623,415,2012,0,82.6,76.67,415000
115,545,2010,0,85.0,89.56,290000
288,635,2014,1,95.2,91.2,310000
2491,695,2013,1,83.4,87.4,600000
1181,500,2014,1,62.0,74.0,220000
337,650,2013,1,82.2,92.2,420000
46,605,2013,1,58.4,78.4,100000
747,475,2014,1,68.0,74.8,345000
2738,355,2011,0,61.0,61.0,325000
